match_id,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_hit_woodwork,away_hit_woodwork,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box
12776232,9,20,6,10,0,0,1,8,2,2,9,13,0,7
12773388,14,15,9,2,0,0,3,6,2,7,11,2,3,13
12773385,15,8,7,3,0,0,4,3,4,2,8,3,7,5
12497536,13,9,5,0,0,0,7,5,1,4,7,5,6,4
12765324,8,21,4,7,0,0,3,10,1,4,5,13,3,8
12765325,11,7,4,3,0,0,4,4,3,0,8,5,3,2
12448681,12,16,2,4,1,1,7,5,3,7,8,13,4,3
12448692,20,20,6,6,0,2,8,13,6,1,16,13,4,7
13011670,7,14,4,3,0,0,2,5,1,6,6,8,1,6
12448762,9,7,3,2,1,0,4,2,2,3,4,3,5,4
12448764,18,11,4,5,2,0,6,5,8,1,11,8,7,3
12448767,7,16,2,4,0,0,4,6,1,6,4,13,3,3
12449217,22,25,6,11,0,0,9,11,7,3,15,20,7,5
12449215,17,9,6,6,0,0,8,1,3,2,10,8,7,1
11973094,9,10,2,3,0,0,5,4,2,3,6,2,3,8
11973085,6,10,2,5,0,0,2,4,2,1,4,6,2,4
11973088,15,11,7,3,0,1,4,3,4,4,5,6,10,5
11973103,17,7,6,4,0,0,5,2,6,1,8,6,9,1
11973090,11,9,1,2,0,0,6,3,4,4,4,4,7,5
11973091,18,10,5,6,0,0,6,4,7,0,15,5,3,5
11973086,15,9,4,4,1,0,4,3,6,2,8,4,7,5
11973093,2,2,1,0,0,0,1,2,0,0,1,2,1,0
11973087,10,11,2,4,0,0,5,6,3,1,4,4,6,7
11973092,15,20,3,5,1,1,10,10,1,4,10,7,5,13
12586168,14,7,2,2,0,0,4,1,7,4,7,5,7,2
12586173,18,5,9,3,0,0,6,2,3,0,14,3,4,2
12753021,20,6,8,4,0,0,7,0,5,2,7,4,13,2
12753032,13,8,2,6,1,0,7,1,4,1,8,3,5,5
12753017,22,8,9,2,0,1,8,3,5,3,17,4,5,4
12753012,15,10,5,5,0,0,5,3,5,2,9,6,6,4
13019034,8,10,3,4,0,0,4,3,1,3,4,7,4,3
13019043,9,17,6,9,0,0,2,4,1,4,6,10,3,7
12425088,11,10,5,2,0,0,2,6,4,2,9,6,2,4
13029521,17,16,7,3,1,0,4,8,5,5,8,8,9,8
13041742,4,9,4,0,0,0,0,6,0,3,3,5,1,4
12447865,10,15,5,1,0,0,3,10,2,4,6,8,4,7
12447858,8,13,2,7,0,0,4,3,2,3,6,6,2,7
12497309,11,6,3,3,0,0,6,1,2,2,2,5,9,1
12497312,7,13,2,5,0,0,2,6,3,2,2,11,5,2
12497319,5,13,2,4,0,1,1,5,2,3,2,7,3,6
12497311,8,21,2,14,1,0,4,4,1,3,4,10,4,11
12497305,13,5,4,2,1,0,6,0,2,3,10,2,3,3
12451610,8,17,6,3,0,2,0,6,2,6,7,7,1,10
12442027,11,14,5,7,1,1,1,1,4,5,6,9,5,5
12463379,13,6,4,3,0,1,4,1,5,1,7,4,6,2
11990387,14,20,7,11,0,0,3,7,4,2,11,11,3,9
13008765,19,0,7,0,1,0,6,0,5,0,12,0,7,0
11989125,12,15,7,5,0,0,3,6,2,4,9,4,3,11
11989123,2,16,1,3,0,0,1,7,0,6,2,5,0,11
11989126,9,6,4,2,0,0,4,3,1,1,5,4,4,2
12525926,9,13,7,7,0,0,1,0,1,6,6,9,3,4
12525929,12,10,3,3,1,0,1,4,7,3,7,8,5,2
12525932,13,13,5,7,1,0,4,2,3,4,6,9,7,4
12868396,12,14,2,7,2,0,3,2,5,5,10,8,2,6
12650996,16,21,7,6,0,0,6,7,3,8,7,9,9,12
12651004,12,6,0,3,0,0,6,2,6,1,3,4,9,2
12598357,16,14,12,3,1,0,3,4,0,7,9,10,7,4
12598360,10,21,6,7,0,1,1,7,3,6,2,14,8,7
12598355,5,16,2,9,0,0,2,4,0,3,4,9,1,7
12177173,13,8,3,1,0,0,6,6,4,1,7,3,6,5
12177177,14,11,4,6,1,0,5,1,4,4,7,10,7,1
12085473,25,7,14,3,1,0,3,4,7,0,18,4,7,3
12085469,2,11,1,4,0,0,1,6,0,1,0,8,2,3
12444644,10,9,4,2,0,0,2,5,4,2,3,2,7,7
12444645,14,12,2,3,0,1,6,3,6,5,5,6,9,6
12444663,18,8,4,4,1,0,9,3,4,1,11,3,7,5
12963363,7,9,4,5,0,0,2,3,1,1,2,6,5,3
12963291,13,12,9,3,0,1,2,4,2,4,9,10,4,2
12590279,8,17,3,3,0,0,4,7,1,7,5,10,3,7
12590273,9,21,1,7,0,0,5,12,2,2,5,10,4,11
12531981,4,20,2,8,0,0,1,2,1,10,2,10,2,10
12531969,21,8,12,3,0,0,5,4,4,1,10,3,11,5
12969196,11,12,5,4,0,0,3,3,3,5,5,8,6,4
12472158,6,9,4,1,0,1,0,2,2,3,3,2,3,7
12448838,10,13,4,5,0,2,3,2,3,4,8,10,2,3
12448841,14,10,3,4,1,0,6,4,4,2,9,6,5,4
12448840,18,9,3,1,0,1,10,5,5,2,9,7,9,2
12518422,15,14,4,9,0,0,4,2,7,3,8,8,7,6
12518425,9,13,5,6,0,0,2,4,2,3,6,7,3,6
12518416,15,4,5,1,0,1,8,2,2,1,6,4,9,0
13019039,10,14,4,7,0,0,4,6,2,1,5,11,5,3
12923109,16,4,5,1,0,0,7,3,4,0,11,2,5,2
12923104,9,17,3,5,0,1,5,6,1,6,7,13,2,4
12246983,7,25,5,12,0,1,1,6,1,6,3,20,4,5
12246985,13,6,5,2,1,0,5,2,2,2,9,3,4,3
12484257,7,14,4,3,1,1,1,5,1,5,3,10,4,4
12484258,15,11,5,5,0,0,7,5,3,1,7,8,8,3
12484255,12,2,7,1,1,0,3,1,1,0,8,1,4,1
12196916,9,12,2,2,0,0,1,5,6,5,6,7,3,5
12196973,14,7,2,1,1,0,6,2,5,4,8,6,6,1
12199061,10,14,4,6,0,0,3,4,3,4,7,7,3,7
12442133,14,11,4,0,0,0,8,9,2,2,10,6,4,5
12442134,17,15,9,2,0,0,3,4,5,9,13,2,4,13
12484433,14,11,8,3,0,0,3,5,3,3,6,4,8,7
12484437,13,14,2,5,0,1,7,5,4,3,3,8,10,6
13014309,15,13,5,3,0,0,7,5,3,5,8,7,7,6
13014303,14,10,4,1,0,0,6,7,4,2,7,6,7,4
12694137,6,11,2,2,0,1,4,4,0,4,4,3,2,8
12694134,16,11,6,5,1,2,5,2,4,2,8,5,8,6
12698547,12,8,3,3,0,0,6,4,3,1,8,4,4,4
12454752,5,17,2,10,0,0,1,2,2,5,2,10,3,7
12454757,18,14,6,6,0,0,9,5,3,3,11,6,7,8
12650088,17,4,5,3,1,0,7,1,5,0,11,1,6,3
13023005,11,15,5,6,1,2,6,7,0,2,8,10,3,5
13006575,20,6,6,5,1,0,9,1,5,0,13,5,7,1
12437611,4,20,1,1,0,1,2,11,1,8,4,12,0,8
12499348,14,11,2,4,0,0,7,4,5,3,11,8,3,3
12499354,14,7,6,1,1,0,4,4,4,2,8,1,6,6
12499355,13,9,5,4,0,0,6,4,2,1,9,7,4,2
12900855,16,9,9,2,1,0,3,3,4,4,12,4,4,5
12970179,9,28,2,10,0,0,6,11,1,7,3,16,6,12
12970160,7,8,0,1,0,0,5,6,2,1,3,5,4,3
12970153,2,19,2,10,0,3,0,5,0,4,1,11,1,8
12970192,7,19,2,7,0,1,2,6,3,6,6,13,1,6
12970193,7,19,4,6,0,0,3,8,0,5,3,10,4,9
