match_id,home_accurate_passes,away_accurate_passes,home_final_third_entries,away_final_third_entries,home_long_balls,away_long_balls,home_crosses,away_crosses,home_throw-ins,away_throw-ins,home_final_third_phase,away_final_third_phase
12527738,187,561,46,39,29/49 (59%),11/24 (46%),6/12 (50%),5/23 (22%),12,8,70/108 (65%),89/108 (82%)
12146528,365,263,53,64,39/64 (61%),33/76 (43%),5/20 (25%),2/16 (13%),28,17,77/105 (73%),59/105 (56%)
12146523,358,345,61,66,24/58 (41%),20/61 (33%),3/11 (27%),6/24 (25%),30,28,60/101 (59%),94/137 (69%)
12146524,267,451,55,65,33/71 (46%),25/51 (49%),5/16 (31%),2/27 (7%),18,22,63/94 (67%),106/153 (69%)
12445047,308,342,71,52,38/72 (53%),29/66 (44%),5/28 (18%),10/23 (43%),26,20,87/128 (68%),62/92 (67%)
12596621,554,209,82,53,39/61 (64%),34/68 (50%),11/29 (38%),4/11 (36%),25,15,114/150 (76%),51/76 (67%)
12596615,302,334,64,68,41/89 (46%),32/61 (52%),1/11 (9%),2/16 (13%),36,15,53/95 (56%),100/142 (70%)
12596618,451,236,69,32,30/50 (60%),28/63 (44%),5/22 (23%),3/10 (30%),21,17,97/140 (69%),62/94 (66%)
12596617,308,224,68,37,38/65 (58%),17/61 (28%),5/33 (15%),1/13 (8%),28,16,109/153 (71%),46/71 (65%)
12481094,135,538,63,53,24/64 (38%),30/48 (63%),5/16 (31%),5/18 (28%),15,26,36/89 (40%),90/128 (70%)
12481098,122,511,44,70,14/63 (22%),34/55 (62%),2/15 (13%),5/29 (17%),25,28,44/95 (46%),156/196 (80%)
12481103,268,359,52,64,28/73 (38%),20/58 (34%),6/27 (22%),4/21 (19%),22,20,53/104 (51%),58/104 (56%)
12463967,264,302,38,52,21/62 (34%),37/58 (64%),3/9 (33%),3/26 (12%),14,20,34/65 (52%),104/142 (73%)
12463970,341,369,61,32,19/34 (56%),36/62 (58%),3/20 (15%),2/13 (15%),22,12,97/131 (74%),53/71 (75%)
13012918,469,184,61,36,28/42 (67%),18/46 (39%),7/17 (41%),0/2 (0%),19,23,135/171 (79%),26/53 (49%)
13011712,438,137,77,51,38/55 (69%),22/51 (43%),3/45 (7%),3/8 (38%),19,15,146/174 (84%),29/68 (43%)
13011728,309,239,46,53,36/63 (57%),16/37 (43%),4/12 (33%),3/13 (23%),11,24,44/66 (67%),62/101 (61%)
13011718,211,267,37,52,23/50 (46%),22/43 (51%),3/10 (30%),3/13 (23%),15,14,49/78 (63%),69/113 (61%)
12580708,334,138,85,56,38/73 (52%),25/84 (30%),8/29 (28%),3/9 (33%),24,21,93/149 (62%),49/92 (53%)
12580604,263,354,65,71,34/82 (41%),40/70 (57%),2/13 (15%),9/21 (43%),23,15,67/117 (57%),106/143 (74%)
12580707,440,186,66,50,55/80 (69%),20/63 (32%),8/31 (26%),1/10 (10%),24,20,121/165 (73%),39/81 (48%)
12580607,282,321,68,53,25/85 (29%),25/75 (33%),2/12 (17%),2/11 (18%),27,38,86/143 (60%),72/110 (65%)
12402296,439,289,46,50,25/55 (45%),15/39 (38%),5/11 (45%),5/24 (21%),18,22,75/109 (69%),71/106 (67%)
12402294,320,480,54,41,18/44 (41%),44/73 (60%),4/11 (36%),2/17 (12%),13,24,59/98 (60%),112/142 (79%)
12402304,473,266,56,32,21/43 (49%),21/43 (49%),9/26 (35%),3/9 (33%),21,13,174/220 (79%),37/62 (60%)
12407828,323,335,71,57,30/63 (48%),23/54 (43%),2/15 (13%),7/28 (25%),19,23,93/136 (68%),81/122 (66%)
12407829,273,525,26,82,21/48 (44%),48/68 (71%),3/12 (25%),4/21 (19%),15,22,48/65 (74%),139/191 (73%)
12407826,194,411,52,50,22/61 (36%),31/61 (51%),2/13 (15%),4/35 (11%),20,20,49/82 (60%),77/119 (65%)
12407827,334,564,39,69,26/48 (54%),18/35 (51%),5/12 (42%),5/20 (25%),8,17,56/82 (68%),131/187 (70%)
12656652,334,273,81,49,38/98 (39%),25/83 (30%),7/21 (33%),3/14 (21%),20,16,72/134 (54%),45/87 (52%)
12991466,113,329,56,76,23/80 (29%),21/54 (39%),1/7 (14%),2/29 (7%),22,25,26/70 (37%),101/160 (63%)
12991503,281,211,60,78,34/72 (47%),34/71 (48%),9/20 (45%),8/16 (50%),16,15,74/117 (63%),70/122 (57%)
12014196,246,282,74,59,42/84 (50%),25/60 (42%),8/18 (44%),4/19 (21%),15,17,63/127 (50%),77/122 (63%)
12014204,403,214,57,39,21/39 (54%),35/69 (51%),11/38 (29%),5/8 (63%),14,30,117/157 (75%),32/58 (55%)
12014199,419,215,72,46,17/28 (61%),26/56 (46%),6/17 (35%),2/7 (29%),11,10,124/150 (83%),31/60 (52%)
12014195,244,253,45,65,22/59 (37%),25/63 (40%),0/0 (0%),5/20 (25%),24,17,28/71 (39%),65/101 (64%)
12744968,358,291,55,50,43/60 (72%),28/56 (50%),2/16 (13%),2/10 (20%),18,19,100/140 (71%),55/91 (60%)
11928436,149,411,42,56,18/63 (29%),34/78 (44%),3/13 (23%),7/22 (32%),26,33,33/67 (49%),84/131 (64%)
13016164,284,157,,,45/76 (59%),19/52 (36%),9/18 (50%),3/8 (37%),30,34,48/86 (56%),33/69 (48%)
13016167,456,93,,,26/44 (59%),20/38 (52%),12/33 (36%),1/2 (50%),28,17,74/96 (77%),15/24 (63%)
11912251,323,359,77,57,31/69 (45%),40/86 (47%),3/30 (10%),6/17 (35%),20,25,97/150 (65%),57/93 (61%)
11912259,416,283,66,52,30/67 (45%),23/55 (42%),9/26 (35%),7/22 (32%),19,15,98/149 (66%),86/126 (68%)
11912260,342,313,67,86,43/76 (57%),32/88 (36%),6/20 (30%),3/11 (27%),23,24,84/133 (63%),71/129 (55%)
11912233,556,333,91,39,49/77 (64%),24/57 (42%),2/16 (13%),2/12 (17%),13,26,112/162 (69%),48/77 (62%)
11912235,381,314,66,66,28/73 (38%),30/80 (38%),0/4 (0%),8/24 (33%),17,18,89/127 (70%),88/132 (67%)
11912258,544,279,71,49,38/64 (59%),21/43 (49%),1/7 (14%),2/16 (13%),31,16,128/172 (74%),71/99 (72%)
11912257,408,373,67,43,16/37 (43%),31/63 (49%),9/33 (27%),1/8 (13%),17,11,142/171 (83%),107/147 (73%)
12831490,209,155,64,76,31/70 (44%),30/85 (35%),2/17 (12%),4/11 (36%),13,29,48/92 (52%),58/109 (53%)
12831480,195,241,48,43,18/55 (33%),21/42 (50%),1/13 (8%),5/12 (42%),19,6,40/66 (61%),50/79 (63%)
12831494,345,278,47,59,38/62 (61%),51/73 (70%),3/14 (21%),7/13 (54%),16,21,66/93 (71%),72/105 (69%)
12831492,301,260,56,41,22/58 (38%),42/83 (51%),8/23 (35%),2/10 (20%),13,16,88/126 (70%),22/54 (41%)
12831481,218,226,53,61,32/64 (50%),43/73 (59%),4/14 (29%),1/6 (17%),13,21,46/84 (55%),48/92 (52%)
12831498,219,220,49,65,42/79 (53%),41/76 (54%),5/12 (42%),5/27 (19%),22,22,55/83 (66%),85/135 (63%)
12831500,419,222,58,67,32/49 (65%),23/73 (32%),5/29 (17%),2/6 (33%),20,23,63/99 (64%),42/89 (47%)
12489710,232,153,83,64,21/80 (26%),22/82 (27%),5/23 (22%),3/14 (21%),30,38,64/123 (52%),45/90 (50%)
12489715,438,211,72,40,16/41 (39%),21/53 (40%),7/26 (27%),3/15 (20%),20,24,102/156 (65%),40/63 (63%)
12489714,165,499,39,80,26/72 (36%),43/66 (65%),6/13 (46%),11/37 (30%),21,20,32/68 (47%),130/170 (76%)
12489713,140,427,48,76,17/65 (26%),29/57 (51%),1/4 (25%),9/39 (23%),13,25,30/69 (43%),153/198 (77%)
11907444,312,324,46,82,17/53 (32%),36/85 (42%),3/13 (23%),2/26 (8%),19,26,67/99 (68%),92/154 (60%)
11907450,426,220,65,54,18/42 (43%),25/82 (30%),10/38 (26%),2/9 (22%),29,27,113/157 (72%),26/68 (38%)
11907447,589,197,85,33,27/42 (64%),17/60 (28%),5/33 (15%),3/19 (16%),24,18,164/213 (77%),39/68 (57%)
11907445,310,377,62,70,18/51 (35%),23/61 (38%),3/17 (18%),2/13 (15%),18,19,89/131 (68%),106/156 (68%)
11907446,545,120,95,54,43/68 (63%),25/68 (37%),8/35 (23%),2/18 (11%),28,17,175/223 (78%),38/75 (51%)
