match_id,home_ball_possession,away_ball_possession,home_big_chances,away_big_chances,home_total_shots,away_total_shots,home_goalkeeper_saves,away_goalkeeper_saves,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_passes,away_passes,home_tackles,away_tackles,home_free_kicks,away_free_kicks,home_yellow_cards,away_yellow_cards,home_expected_goals,away_expected_goals,home_red_cards,away_red_cards
12831481,50%,50%,,,8,6,2,5,2,2,21,18,295,295,17,8,18,21,3,5,0.72,0.19,,
12831498,49%,51%,,,11,18,4,2,1,9,17,14,296,296,17,3,14,16,1,1,0.84,0.88,,
12831500,63%,37%,0,1,18,4,1,3,6,1,18,14,498,310,10,8,13,17,3,3,0.57,0.78,,
12489710,56%,44%,2,3,11,10,2,0,4,4,15,14,341,270,10,17,14,14,2,1,0.91,1.44,1,0
12489715,64%,36%,4,3,22,9,3,5,7,4,8,21,533,296,21,22,21,8,1,3,1.41,0.89,,
12489714,30%,70%,0,1,8,18,4,1,6,10,11,7,256,583,19,16,7,10,1,2,0.37,1.42,1,0
12489713,29%,71%,3,2,8,28,5,1,2,11,15,17,220,504,14,8,17,14,6,2,0.68,2.45,1,0
11907444,48%,52%,3,3,16,4,1,3,3,6,10,18,413,440,28,12,17,9,1,1,1.16,1.16,,
11907450,63%,37%,2,2,14,6,0,4,10,1,12,11,523,312,18,20,11,11,2,3,1.00,1.18,,
11907447,70%,30%,2,2,20,10,1,4,8,3,13,7,674,280,20,14,6,12,2,0,0.94,0.97,,
11907445,46%,54%,2,2,19,22,6,2,8,3,9,8,401,461,21,14,8,8,1,3,1.17,1.08,,
11907446,75%,25%,1,0,14,9,0,4,4,4,9,11,629,195,12,28,11,9,3,1,1.15,0.64,,
12439860,34%,66%,3,2,12,9,1,1,1,3,9,12,349,692,20,18,11,9,1,2,1.82,0.81,1,1
12439861,57%,43%,2,2,7,18,4,1,1,9,11,18,504,359,16,8,18,10,3,3,0.82,1.76,,
12439858,55%,45%,0,2,15,15,4,1,6,4,14,11,417,350,25,22,11,14,4,3,0.58,1.95,,
12662014,71%,29%,1,0,9,3,0,3,6,3,14,15,600,245,12,17,15,11,3,1,,,,
12662012,29%,71%,1,0,12,4,0,2,3,4,13,13,196,503,14,12,12,12,2,3,,,,
13022369,45%,55%,2,1,13,8,0,5,8,2,18,15,540,658,24,24,15,18,3,3,,,,
13008825,62%,38%,3,3,16,10,3,5,8,1,13,6,480,312,29,24,6,13,1,0,,,,
12453008,51%,49%,3,5,14,25,4,2,4,9,9,11,411,398,22,13,9,9,3,2,,,,
12453110,66%,34%,3,1,12,13,3,4,6,3,8,14,552,281,9,17,13,8,3,4,,,,
12453112,47%,53%,1,0,9,13,4,3,6,6,10,16,405,457,11,19,14,9,1,1,,,,
12065761,59%,41%,,,11,10,3,5,3,1,12,13,526,373,8,9,2,1,0,0,1.11,0.37,0,0
12065762,50%,50%,,,18,14,4,4,9,3,16,9,391,440,4,7,2,3,3,2,0.84,1.53,0,0
12065760,48%,52%,,,17,4,0,5,7,3,12,15,414,362,1,3,2,1,0,4,1.43,0.32,0,0
12776232,50%,50%,1,5,9,20,8,6,6,7,20,15,405,422,5,22,14,19,4,2,,,,
12773388,58%,42%,6,1,14,15,2,5,7,9,12,14,580,399,19,15,14,11,3,3,,,,
12773385,56%,44%,4,1,15,8,2,6,4,6,10,6,568,445,19,14,5,9,2,0,,,,
12497536,47%,53%,1,0,13,9,0,2,9,5,14,14,376,430,5,13,14,14,2,3,,,,
12765324,29%,71%,3,4,8,21,4,1,2,10,9,9,194,451,10,17,8,7,3,2,,,1,0
12765325,56%,44%,2,0,11,7,2,2,2,8,16,21,316,243,8,11,19,16,5,5,,,1,2
12448681,58%,42%,3,4,12,16,1,1,2,7,19,20,361,248,26,27,17,19,3,2,,,,
12448692,37%,63%,0,2,20,20,4,4,6,6,10,13,300,532,19,25,11,9,2,3,,,,
13011670,59%,41%,,,7,14,3,4,0,1,18,10,523,350,18,17,10,17,5,1,,,,
12448762,69%,31%,2,2,9,7,1,2,7,2,11,13,549,260,14,32,12,10,2,2,,,,
12448764,50%,50%,4,0,18,11,5,3,2,4,8,18,447,449,23,25,18,8,0,4,,,,
12448767,35%,65%,0,6,7,16,3,1,0,7,13,11,300,568,34,18,11,13,1,1,,,,
12449217,47%,53%,1,4,22,25,9,4,11,4,16,6,311,374,19,15,5,16,2,1,,,,
12449215,50%,50%,3,2,17,9,4,4,2,9,15,16,367,347,16,17,15,13,4,4,,,,
11973094,55%,45%,,,9,10,2,1,7,3,13,16,335,290,7,2,5,5,2,2,0.86,0.48,0,0
11973085,48%,52%,,,6,10,3,2,7,5,19,6,350,355,3,5,1,4,3,2,0.58,2.33,1,0
11973088,43%,57%,,,15,11,3,6,7,4,5,13,326,385,6,5,5,2,1,1,1.91,0.93,0,0
11973103,56%,44%,,,17,7,3,6,5,2,13,18,404,280,12,4,5,2,5,2,1.33,0.80,0,0
11973090,53%,47%,,,11,9,3,1,3,5,6,11,408,379,6,12,2,1,1,4,0.35,0.35,0,0
11973091,46%,54%,,,18,10,5,3,11,2,7,14,300,390,4,1,6,1,0,0,2.50,0.79,0,0
11973086,54%,46%,,,15,9,2,3,2,2,12,21,322,248,0,3,12,5,4,3,2.22,1.40,0,0
11973093,58%,42%,,,2,2,0,0,2,1,7,13,281,174,5,4,1,3,1,1,0.77,0.40,0,1
11973087,69%,31%,,,10,11,2,1,6,1,11,9,472,184,0,2,2,1,2,1,0.50,0.72,0,0
11973092,42%,58%,,,15,20,5,3,6,6,8,20,174,311,5,1,7,4,1,4,1.18,1.13,1,0
12586168,46%,54%,,,14,7,2,2,4,3,15,16,366,447,3,1,2,3,2,3,2.73,0.36,0,0
12586173,72%,28%,,,18,5,3,6,10,2,16,8,672,204,2,8,2,4,2,0,3.03,0.26,0,0
12162883,,,,,,,,,,,,,,,,,,,0,1,,,0,0
12753021,58%,42%,1,0,20,6,4,6,8,4,14,4,401,296,12,8,2,14,3,2,,,0,1
12753032,60%,40%,1,1,13,8,4,1,9,3,15,17,341,241,8,17,16,14,1,3,,,,
12753017,46%,54%,3,1,22,8,0,7,9,3,11,14,297,372,7,12,13,8,3,6,,,,
12753012,61%,39%,0,2,15,10,3,5,10,4,7,15,385,245,11,8,14,7,1,3,,,,
13019034,51%,49%,,,8,10,2,3,2,5,8,18,350,311,8,3,4,1,0,2,0.44,1.08,0,0
13019043,45%,55%,,,9,17,6,4,4,2,16,9,366,488,1,2,2,3,1,1,0.77,1.84,1,0
12425088,56%,44%,,,11,10,2,3,4,3,8,10,580,432,3,2,1,2,0,2,1.33,1.21,0,0
13029521,51%,49%,,,17,16,2,6,10,4,11,12,336,323,3,3,2,2,3,4,3.03,1.43,0,0
13041742,52%,48%,,,4,9,0,3,2,3,13,2,457,445,2,2,0,5,1,0,1.15,0.36,0,0
12447865,51%,49%,,,10,15,1,3,7,3,15,18,270,322,4,3,3,5,5,2,1.06,0.97,0,0
12447858,54%,46%,,,8,13,4,1,4,5,12,12,416,336,0,1,3,1,3,1,0.68,1.83,0,0
12497309,48%,52%,,,11,6,2,3,4,8,13,18,403,462,4,4,7,1,3,4,0.98,1.20,0,0
12497312,51%,49%,,,7,13,4,2,3,8,14,15,388,398,0,0,2,3,2,1,0.91,1.32,0,0
12497319,39%,61%,,,5,13,2,1,3,4,8,13,275,506,3,0,0,0,2,1,0.74,1.44,0,0
12497311,49%,51%,,,8,21,8,0,1,6,10,21,367,384,2,2,1,5,4,4,0.55,2.10,0,0
12497305,55%,45%,,,13,5,2,2,4,3,14,8,460,331,1,3,0,9,2,3,1.28,0.44,0,1
12451610,35%,65%,,,8,17,2,5,5,6,15,11,237,501,5,2,6,6,3,2,0.86,1.47,0,0
12442027,57%,43%,,,11,14,3,4,2,5,9,5,598,492,5,2,1,1,1,2,0.93,2.03,1,0
12463379,67%,33%,,,13,6,2,3,5,2,12,12,613,314,5,0,2,3,2,1,1.96,0.98,0,0
11990387,52%,48%,,,14,20,7,7,9,9,11,14,392,418,1,3,2,1,1,2,1.48,3.03,0,0
13008765,65%,35%,,,19,0,0,8,9,0,11,13,508,174,6,4,0,2,4,2,2.65,0.00,1,1
11989125,65%,35%,,,12,15,4,4,4,5,11,15,619,301,9,0,2,4,4,3,3.12,1.16,0,3
11989123,41%,59%,,,2,16,3,0,3,7,17,10,194,360,4,0,0,7,3,3,0.16,1.38,0,0
11989126,54%,46%,,,9,6,2,2,1,3,12,13,464,362,1,3,2,3,3,4,1.12,0.37,0,0
12525926,47%,53%,,,9,13,6,2,4,11,13,9,421,468,3,2,1,5,2,1,1.52,1.31,0,0
12525929,63%,37%,,,12,10,2,3,4,3,14,20,570,339,3,6,7,1,4,4,1.45,1.35,0,0
12525932,61%,39%,,,13,13,5,3,6,6,10,9,569,328,2,2,2,1,2,1,1.08,1.92,0,0
12643020,,,,,,,,,,,,,,,,,,,0,3,,,0,0
