match_id,home_total_tackles,away_total_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_clearances,away_clearances,home_tackles_won,away_tackles_won,home_errors_lead_to_a_shot,away_errors_lead_to_a_shot,home_errors_lead_to_a_goal,away_errors_lead_to_a_goal
12449217,19,15,7,4,44,34,23,26,58%,60%,,,,
12449215,16,17,17,17,63,52,36,16,50%,65%,,,,
11973094,7,2,12,20,,,14,27,,,3,1,,
11973085,3,5,16,17,,,4,19,,,,,,
11973088,6,5,10,10,,,22,11,,,3,5,,
11973103,12,4,12,28,,,6,18,,,1,5,,
11973090,6,12,19,12,,,16,13,,,2,4,,
11973091,4,1,19,8,,,7,15,,,5,6,,
11973086,0,3,9,29,,,4,20,,,3,4,,
11973093,5,4,6,15,,,14,12,,,,,,
11973087,0,2,4,13,,,1,33,,,5,1,,
11973092,5,1,11,4,,,24,7,,,3,2,,
12586168,3,1,13,23,,,7,16,,,,,,
12586173,2,8,8,17,,,7,22,,,1,2,,
12753021,12,8,4,10,47,33,7,18,67%,75%,,,,
12753032,8,17,7,5,41,39,12,36,38%,94%,,,,
12753017,7,12,9,3,25,33,20,22,86%,75%,,,,
12753012,11,8,7,7,34,33,9,31,91%,100%,,,,
13019034,8,3,20,25,,,19,20,,,,,,
13019043,1,2,18,12,,,21,9,,,3,1,,
12425088,3,2,17,25,,,17,12,,,,,,
13029521,3,3,16,24,,,12,20,,,5,4,,
13041742,2,2,10,19,,,18,9,,,,,,
12447865,4,3,19,14,,,19,9,,,5,1,,
12447858,0,1,8,23,,,12,18,,,1,1,,
12497309,4,4,16,18,,,17,14,,,2,1,,
12497312,0,0,9,12,,,2,7,,,,,,
12497319,3,0,26,12,,,19,1,,,3,1,,
12497311,2,2,17,19,,,14,8,,,,,,
12497305,1,3,12,18,,,24,17,,,1,1,,
12451610,5,2,12,14,,,19,27,,,2,4,,
12442027,5,2,16,21,,,8,11,,,3,2,,
12463379,5,0,10,32,,,10,20,,,,,,
11990387,1,3,18,30,,,8,24,,,7,2,,
13008765,6,4,15,31,,,7,32,,,,,,
11989125,9,0,17,9,,,10,5,,,6,1,,
11989123,4,0,10,11,,,35,13,,,,,,
11989126,1,3,15,6,,,18,16,,,1,2,,
12525926,3,2,21,23,,,17,8,,,,,,
12525929,3,6,14,15,,,2,21,,,1,1,,
12525932,2,2,18,24,,,22,23,,,6,3,,
12868396,3,3,8,12,,,7,17,,,3,3,,
12650996,2,6,12,19,,,23,16,,,6,4,,
12651004,2,2,15,18,,,9,17,,,1,2,,
12598357,2,2,24,11,,,19,16,,,,,,
12598360,9,2,11,23,,,33,4,,,,,,
12598355,1,9,9,21,,,7,5,,,,,,
12177173,2,0,9,14,,,20,12,,,2,2,,
12177177,4,4,16,19,,,10,16,,,3,1,,
12085473,2,5,15,23,,,4,26,,,2,11,,
12085469,3,1,22,13,,,13,4,,,4,1,,
12444644,3,5,16,20,,,8,17,,,3,3,,
12444645,4,9,15,16,,,19,13,,,2,3,,
12444663,2,0,9,22,,,4,17,,,3,7,,
12963363,3,2,6,16,,,3,2,,,,,,
12963291,2,3,4,6,,,16,9,,,1,1,,
12590279,3,2,24,10,,,23,7,,,3,1,,
12590273,3,1,25,25,,,14,12,,,8,2,,
12531981,3,1,23,15,,,31,12,,,,,,
12531969,7,8,10,18,,,11,8,,,3,3,,
12969196,3,4,25,13,,,26,7,,,7,3,,
12472158,4,4,10,14,,,17,12,,,,,,
12448838,2,2,12,13,,,21,21,,,2,2,,
12448841,4,0,9,17,,,8,8,,,,,,
12448840,5,3,10,18,,,6,8,,,2,4,,
12518422,12,12,6,4,37,27,4,28,83%,75%,,,,
